origen,producto,category
Veracruz,Cintilla,pescado
Veracruz,Lebrancha,pescado
Veracruz,Robalo,pescado
Veracruz,Rubia o Biajaiba,pescado
Michoacán,Cazón con cabeza,pescado
Veracruz,Cazón con cabeza,pescado
Veracruz,Huachinango Golfo,pescado
Veracruz,Mojarra Marina,pescado
Veracruz,Pargo,pescado
Veracruz,Pargo Habanero,pescado
Veracruz,Sierra del Golfo,pescado
Campeche,Pargo Habanero,pescado
Campeche,Cazón con cabeza,pescado
Campeche,Jurel,pescado
Campeche,Mero,pescado
Campeche,Pampano,pescado
Campeche,Sierra del Golfo,pescado
Campeche,Pargo Huachinango,pescado
Campeche,Pargo,pescado
Campeche,Mojarra Marina,pescado
Michoacán,Huachinango Pacífico,pescado
Michoacán,Lisa del Pacífico,pescado
Colima,Cazón con cabeza,pescado
Colima,Huachinango Pacífico,pescado
Colima,Lisa del Pacífico,pescado
Baja California Sur,Aleta de raya,pescado
Baja California Sur,Atún,pescado
Baja California Sur,Cazón sin cabeza,pescado
Baja California Sur,Conejo,pescado
Baja California Sur,Huachinango Pacífico,pescado
Baja California Sur,Jurel,pescado
Baja California Sur,Lisa del Pacífico,pescado
Baja California Sur,Mero,pescado
Baja California Sur,Mojarra Marina,pescado
Baja California Sur,Pargo,pescado
Baja California Sur,Pargo Habanero,pescado
Baja California Sur,Pargo Huachinango,pescado
Baja California Sur,Robalo,pescado
Baja California Sur,Sierra del Pacífico,pescado
Baja California Sur,Tiburón sin cabeza,pescado
Baja California Sur,Vaqueta,pescado
Baja California Sur,Huachinango Golfo,pescado
Baja California Sur,Lisa del Golfo,pescado
Baja California Sur,Sierra del Golfo,pescado
Yucatán,Huachinango Golfo,pescado
Yucatán,Lisa del Golfo,pescado
Yucatán,Pampano,pescado
Yucatán,Pargo Huachinango,pescado
Yucatán,Robalo,pescado
Yucatán,Trucha marina,pescado
Yucatán,Cazón con cabeza,pescado
Yucatán,Cazón sin cabeza,pescado
Yucatán,Mero,pescado
Yucatán,Mojarra Marina,pescado
Yucatán,Pargo Habanero,pescado
Yucatán,Peto o Carito,pescado
Yucatán,Rubia o Biajaiba,pescado
Yucatán,Sierra del Golfo,pescado
Yucatán,Jurel,pescado
Sinaloa,Huachinango Pacífico,pescado
Sinaloa,Pargo Habanero,pescado
Sinaloa,Robalo,pescado
Tamaulipas,Bandera,pescado
Tamaulipas,Jurel,pescado
Tamaulipas,Mero,pescado
Tamaulipas,Mojarra Marina,pescado
Veracruz,Bandera,pescado
Veracruz,Jurel,pescado
Veracruz,Mero,pescado
Veracruz,Trucha marina,pescado
Veracruz,Atún,pescado
Veracruz,Besugo,pescado
Veracruz,Pampano,pescado
Veracruz,Camarón coctel,crustaceos
Veracruz,Camarón chico s/cabeza,crustaceos
Veracruz,Camarón mediano c/cabeza,crustaceos
Veracruz,Camarón mediano s/cabeza,crustaceos
Veracruz,Camarón Pacotilla,crustaceos
Veracruz,Jaiba en pulpa,crustaceos
Veracruz,Jaiba entera,crustaceos
Veracruz,Camarón grande c/cabeza,crustaceos
Michoacán,Langosta entera cocida,crustaceos
Michoacán,Langostino,crustaceos
Michoacán,Tenazas de cangrejo,crustaceos
Baja California Sur,Camarón chico s/cabeza,crustaceos
Baja California Sur,Camarón grande s/cabeza,crustaceos
Baja California Sur,Camarón mediano s/cabeza,crustaceos
Baja California Sur,Cola de langosta,crustaceos
Baja California Sur,Jaiba entera,crustaceos
Baja California Sur,Langosta,crustaceos
Baja California Sur,Langosta entera cocida,crustaceos
Campeche,Camarón grande s/cabeza,crustaceos
Campeche,Camarón mediano s/cabeza,crustaceos
Campeche,Camaron p/bar y bot,crustaceos
Yucatán,Camarón grande s/cabeza,crustaceos
Yucatán,Camarón mediano s/cabeza,crustaceos
Campeche,Camarón coctel,crustaceos
Sinaloa,Jaiba en pulpa,crustaceos
Sinaloa,Langostino,crustaceos
Tamaulipas,Jaiba entera,crustaceos
Tamaulipas,Jaiba en pulpa,crustaceos
Veracruz,Camarón chico c/cabeza,crustaceos
Veracruz,Camarón roca,crustaceos
Veracruz,Camaron p/bar y bot,crustaceos
Veracruz,Camarón grande s/cabeza,crustaceos
Veracruz,Langostino,crustaceos
Veracruz,Almeja gallo,moluscos
Veracruz,Almeja negra,moluscos
